'Elapsed time','ECG ECG'
'seconds','mV'
2.636,0.249
2.638,0.254
2.640,0.259
2.642,0.263
2.644,0.266
2.646,0.268
2.648,0.270
2.650,0.271
2.652,0.271
2.654,0.269
2.656,0.267
2.658,0.262
2.660,0.255
2.662,0.246
2.664,0.236
2.666,0.225
2.668,0.213
2.670,0.201
2.672,0.188
2.674,0.174
2.676,0.160
2.678,0.144
2.680,0.127
2.682,0.110
2.684,0.093
2.686,0.078
2.688,0.066
2.690,0.055
2.692,0.046
2.694,0.037
2.696,0.028
2.698,0.019
2.700,0.009
2.702,0.001
2.704,-0.007
2.706,-0.013
2.708,-0.018
2.710,-0.023
2.712,-0.029
2.714,-0.034
2.716,-0.039
2.718,-0.043
2.720,-0.045
2.722,-0.046
2.724,-0.046
2.726,-0.047
2.728,-0.049
2.730,-0.052
2.732,-0.055
2.734,-0.058
2.736,-0.059
2.738,-0.059
2.740,-0.058
2.742,-0.057
2.744,-0.056
2.746,-0.056
2.748,-0.057
2.750,-0.058
2.752,-0.060
2.754,-0.062
2.756,-0.064
2.758,-0.066
2.760,-0.068
2.762,-0.068
2.764,-0.069
2.766,-0.068
2.768,-0.067
2.770,-0.066
2.772,-0.064
2.774,-0.062
2.776,-0.060
2.778,-0.059
2.780,-0.058
2.782,-0.059
2.784,-0.060
2.786,-0.061
2.788,-0.062
2.790,-0.063
2.792,-0.063
2.794,-0.064
2.796,-0.065
2.798,-0.066
2.800,-0.066
2.802,-0.067
2.804,-0.066
2.806,-0.065
2.808,-0.064
2.810,-0.062
2.812,-0.059
2.814,-0.057
2.816,-0.056
2.818,-0.055
2.820,-0.055
2.822,-0.055
2.824,-0.056
2.826,-0.058
2.828,-0.059
2.830,-0.059
2.832,-0.060
2.834,-0.060
2.836,-0.060
2.838,-0.060
2.840,-0.060
2.842,-0.060
2.844,-0.059
2.846,-0.057
2.848,-0.055
2.850,-0.053
2.852,-0.051
2.854,-0.050
2.856,-0.050
2.858,-0.051
2.860,-0.052
2.862,-0.052
2.864,-0.054
2.866,-0.056
2.868,-0.058
2.870,-0.060
2.872,-0.062
2.874,-0.063
2.876,-0.061
2.878,-0.059
2.880,-0.057
2.882,-0.054
2.884,-0.053
2.886,-0.053
2.888,-0.053
2.890,-0.055
2.892,-0.056
2.894,-0.057
2.896,-0.057
2.898,-0.057
2.900,-0.057
2.902,-0.057
2.904,-0.056
2.906,-0.057
2.908,-0.057
2.910,-0.058
2.912,-0.060
2.914,-0.062
2.916,-0.063
2.918,-0.064
2.920,-0.063
2.922,-0.062
2.924,-0.061
2.926,-0.059
2.928,-0.057
2.930,-0.055
2.932,-0.054
2.934,-0.054
2.936,-0.053
2.938,-0.054
2.940,-0.055
2.942,-0.056
2.944,-0.058
2.946,-0.060
2.948,-0.061
2.950,-0.061
2.952,-0.060
2.954,-0.059
2.956,-0.057
2.958,-0.055
2.960,-0.055
2.962,-0.055
2.964,-0.057
2.966,-0.059
2.968,-0.060
2.970,-0.060
2.972,-0.059
2.974,-0.056
2.976,-0.051
2.978,-0.046
2.980,-0.041
2.982,-0.036
2.984,-0.031
2.986,-0.028
2.988,-0.025
2.990,-0.023
2.992,-0.023
2.994,-0.023
2.996,-0.024
2.998,-0.024
3.000,-0.023
3.002,-0.020
3.004,-0.014
3.006,-0.008
3.008,-0.000
3.010,0.007
3.012,0.013
3.014,0.016
3.016,0.018
3.018,0.018
3.020,0.017
3.022,0.018
3.024,0.019
3.026,0.023
3.028,0.028
3.030,0.033
3.032,0.038
3.034,0.041
3.036,0.042
3.038,0.040
3.040,0.035
3.042,0.028
3.044,0.019
3.046,0.009
3.048,-0.001
3.050,-0.010
3.052,-0.020
3.054,-0.029
3.056,-0.039
3.058,-0.048
3.060,-0.057
3.062,-0.065
3.064,-0.070
3.066,-0.073
3.068,-0.074
3.070,-0.072
3.072,-0.070
3.074,-0.068
3.076,-0.068
3.078,-0.070
3.080,-0.074
3.082,-0.078
3.084,-0.081
3.086,-0.083
3.088,-0.082
3.090,-0.080
3.092,-0.077
3.094,-0.075
3.096,-0.073
3.098,-0.073
3.100,-0.075
3.102,-0.078
3.104,-0.082
3.106,-0.084
3.108,-0.084
3.110,-0.083
3.112,-0.081
3.114,-0.078
3.116,-0.076
3.118,-0.076
3.120,-0.080
3.122,-0.086
3.124,-0.095
3.126,-0.105
3.128,-0.115
3.130,-0.121
3.132,-0.122
3.134,-0.115
3.136,-0.098
3.138,-0.068
3.140,-0.023
3.142,0.039
3.144,0.118
3.146,0.214
3.148,0.319
3.150,0.428
3.152,0.530
3.154,0.618
3.156,0.682
3.158,0.717
3.160,0.717
3.162,0.677
3.164,0.594
3.166,0.468
3.168,0.309
3.170,0.129
3.172,-0.051
3.174,-0.211
3.176,-0.337
3.178,-0.419
3.180,-0.459
3.182,-0.465
3.184,-0.448
